date,BC_1MONTH,BC_3MONTH,BC_6MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_5YEAR,BC_7YEAR,BC_10YEAR,BC_20YEAR,BC_30YEAR,BC_30YEARDISPLAY
2002-01-02,1.73,1.74,1.85,2.28,3.22,3.75,4.52,4.97,5.20,5.86,5.56,0.00
2002-01-03,1.73,1.73,1.82,2.24,3.19,3.71,4.48,4.93,5.16,5.83,5.54,0.00
2002-01-04,1.72,1.72,1.82,2.25,3.19,3.72,4.50,4.97,5.18,5.87,5.57,0.00
2002-01-07,1.70,1.68,1.77,2.19,3.08,3.61,4.39,4.86,5.09,5.76,5.49,0.00
2002-01-08,1.70,1.68,1.77,2.19,3.07,3.60,4.39,4.86,5.10,5.77,5.51,0.00
2002-01-09,1.68,1.68,1.77,2.17,3.03,3.57,4.38,4.86,5.10,5.76,5.51,0.00
2002-01-10,1.66,1.68,1.75,2.10,2.94,3.46,4.27,4.74,5.00,5.64,5.42,0.00
2002-01-11,1.62,1.58,1.62,1.98,2.76,3.28,4.14,4.65,4.92,5.60,5.37,0.00
2002-01-14,1.62,1.58,1.63,2.00,2.79,3.32,4.15,4.64,4.91,5.62,5.38,0.00
2002-01-15,1.64,1.60,1.63,1.99,2.79,3.32,4.14,4.62,4.88,5.56,5.34,0.00
2002-01-16,1.62,1.61,1.65,2.01,2.84,3.36,4.16,4.62,4.88,5.58,5.36,0.00
2002-01-17,1.60,1.64,1.73,2.09,2.96,3.49,4.28,4.73,4.98,5.65,5.41,0.00
2002-01-18,1.59,1.62,1.71,2.08,2.91,3.43,4.23,4.69,4.94,5.59,5.36,0.00
2002-01-22,1.67,1.70,1.77,2.11,2.97,3.48,4.27,4.72,4.96,5.62,5.39,0.00
2002-01-23,1.70,1.71,1.78,2.15,3.07,3.58,4.36,4.81,5.05,5.73,5.48,0.00
2002-01-24,1.69,1.72,1.82,2.22,3.15,3.67,4.40,4.82,5.07,5.71,5.47,0.00
2002-01-25,1.69,1.72,1.83,2.25,3.17,3.71,4.46,4.86,5.10,5.72,5.47,0.00
2002-01-28,1.71,1.76,1.88,2.28,3.19,3.73,4.48,4.88,5.12,5.72,5.47,0.00
2002-01-29,1.72,1.72,1.84,2.23,3.05,3.59,4.35,4.76,5.02,5.63,5.40,0.00
2002-01-30,1.70,1.75,1.86,2.23,3.06,3.61,4.37,4.77,5.02,5.64,5.41,0.00
2002-01-31,1.69,1.76,1.89,2.29,3.16,3.70,4.42,4.82,5.07,5.68,5.44,0.00
2002-02-01,1.69,1.76,1.87,2.22,3.08,3.62,4.37,4.78,5.02,5.63,5.40,0.00
2002-02-04,1.70,1.77,1.87,2.19,2.99,3.52,4.29,4.69,4.94,5.57,5.35,0.00
2002-02-05,1.74,1.76,1.86,2.22,2.99,3.53,4.29,4.66,4.92,5.56,5.35,0.00
2002-02-06,1.73,1.74,1.84,2.20,2.98,3.51,4.30,4.71,4.92,5.61,5.38,0.00
2002-02-07,1.71,1.73,1.83,2.20,2.99,3.54,4.33,4.73,4.93,5.64,5.42,0.00
2002-02-08,1.69,1.73,1.82,2.16,2.95,3.48,4.28,4.69,4.90,5.60,5.39,0.00
2002-02-11,1.73,1.75,1.86,2.21,2.95,3.49,4.29,4.70,4.91,5.63,5.41,0.00
2002-02-12,1.76,1.75,1.87,2.26,3.04,3.58,4.36,4.76,4.97,5.69,5.45,0.00
2002-02-13,1.75,1.76,1.87,2.27,3.09,3.63,4.40,4.80,5.01,5.72,5.47,0.00
2002-02-14,1.75,1.75,1.86,2.26,3.07,3.59,4.35,4.76,4.95,5.64,5.42,0.00
2002-02-15,1.72,1.74,1.84,2.20,2.97,3.50,4.27,4.66,4.86,5.58,5.37,0.00
2002-02-19,1.73,1.76,1.87,2.23,2.98,3.52,4.28,4.71,4.88,5.61,,0.00
2002-02-20,1.75,1.76,1.87,2.24,3.00,3.53,4.28,4.71,4.88,5.60,,0.00
2002-02-21,1.76,1.76,1.87,2.25,3.00,3.52,4.27,4.72,4.88,5.58,,0.00
2002-02-22,1.75,1.76,1.86,2.22,2.97,3.48,4.23,4.67,4.84,5.55,,0.00
2002-02-25,1.76,1.77,1.89,2.26,3.01,3.53,4.26,4.69,4.86,5.56,,0.00
2002-02-26,1.78,1.77,1.91,2.31,3.08,3.61,4.33,4.77,4.93,5.63,,0.00
2002-02-27,1.77,1.77,1.88,2.27,3.09,3.56,4.22,4.67,4.84,5.56,,0.00
