year,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_4MONTH,BC_6MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_5YEAR,BC_7YEAR,BC_10YEAR,BC_20YEAR,BC_30YEAR,BC_30YEARDISPLAY,BC_1_5MONTH
2000,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0
2001,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
2002,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
2003,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0
2004,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0
2005,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0
2006,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
2007,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
2008,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
2009,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
2010,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
2011,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
2012,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
2013,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
2014,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
2015,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
2016,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
2017,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
2018,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
2019,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
2020,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
2021,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
2022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
